a newes,s. nöwis.,
argää,"(argit sich; het sich argää): sich ergeben (refl.), a) geschlagen geben (allg.); wan er schi endlich argää hät, sy si mit ùm Leere scho wyt im Roosechranz ine gsyy (fa Religion); b) zurücklehnen, zB an Feierabend, nach Pensionierung: ma rächnet i kimm Kalender naa, wenn ass mù si törfi argää (pb Verse84); ▲wärche (ANT). SYN: hööre, zǜpfe. ↑ fertig (mache), Füraabe (mache), fǜǜrtue, schlapp (mache), uufgää, zrùggstaa, zǜpfe.",
arhüüchle,(-et): durch Heuchelei erschleichen (Ta2). ↑glyyssne.,
arniesse,"(-nosse): niesen (Gu1 Dü2 Wü Fr1 ML1 Ta2 OL1 Gi2 Re2; sds 4,67). SYN: niesse.","[auch erniesse (sds / wh 68, 149) ◆ zu mhd niesen 'niesen'; erniesse in BE, FR, NW, WS, Walser (sds) ◆ Id 4,818]"
arsuuffe,"(-sùffe): ertrinken: wa d Sǜndfluet cho isch, sy di meischte Lütt arsùffe (fa Religion); SYN: artriiche.",
arwoorge,"(-et): ❶ (fast) ersticken, zB an zu gr. Bissen, an engem Halsband, an Problem (SE Fr1 / wh 56); as isch mir a kei Geis arworget (FN 24.12.1909); ▲stäärbe. ❷ erdrosseln (wh 56); ↑tööte. ❸ würgende Krämpfe, Brechreiz haben (Dü2 Ss2); SYN: apǜre.","[auch erwoorge (Wü Üb1 Ta1 Gi1 Re1 Si1 Ss / wh), arwoorgge (Ta2 Pl2), erwoorgge (Dü2 He Si2), erwoorgle (Üb1), erwǜǜrge (Üb2 Re)]"
Äscher,"(m, unveränd./-e): Aschengrube für Tierhäute, Gerberei (wh 38: ""Pl""). ↑gäärbe.","[† ◆ zu Äscha ◆ Id 1,567]"
Aschterli,"(n, -eni): Aster, Herbstblume (Ta1); ▲Meie. ↑Bienitrooscht. ZSS: Bäärg~.",
Äss·lätzli,"(n, -eni): Esslatz für Kleinkinder (sds 5, 137: Ta / Dü2 Wü2 He1 Re2). SYN: Ässmenteli.",
athaa,"(-hääbe): ❶ aushalten, ertragen, zB Schmerz, Hitze, Kälte, Harndrang (UL1 Fr1 Ta We OL1 Gi2 Pl2 Ss2 / wh 134); im Summer ischt es albeninischt fascht nit z'atha gsi (FN 7.12.1908); i has nit athääbe, [ass si mier aso aaggùgget het] (pb Verse33); SYN: aphaa, preschtiere, toole, uushaḷte, vùrbùtze. ↑ häbe, mege, vùrlyde. ❷ Widerstand leisten, lang hinhalten (Gu1); Fliisch athett besser ass hiitersch Hiitimues (Volkskalender 1996,62); SYN: daaarhaa. ↑Egi (haa). ❸ (refl.) sich zurückhalten, beherrschen (Fr1).","[auch ethaa (Wü1) ◆ ahd ant-hðben 'erhalten, unterhalten; sich enthalten' ◆ Id 2,904: 1. nur Murten, LU, UW]"
at·schǜre,"(-et): ❶ loslösen, befreien. SYN: befrye, lööse, uufbine. ANT: häbe, nǜsche. ↑ atchnǜpfe, attrǜfele, tuuffe. ❷ aus der Fassung bringen, erschüttern, verstören (UL1 ML1 Gi1 Pl1 Ss1); de teete mù d Zwärge gäbig atschǜre (pm 112); ↑waarm (choo).","[auch etschǜre (Wü1 He1), ertschǜre (Üb1) ◆ zu *ent-schirren 'ausschirren' (Id) ◆ Id 8,1176]"
at·wene,"(-wennt): entwöhnen, abgewöhnen, auch Bébé (pb S-1b). ANT: ggwene.",
awä, s. aḷwääg.,
ay·chnǜdere,"(-gchnǜderet): schnell, mit gr. Appetit essen (Gu1 Si1).",
ay·rǜtsche,"(-ggrǜtscht): hinunterrutschen, auch zB Getränke: bi dem rǜtscht is [= alkohol. Getränke] ring ahi (Vaucher 15); ↑aylööse.",
Baabi,"(n, -eni): abschätzig für a) eine kindische Person (Fr2 We1 Gi2); wy mengs Maal han ii Baabi wäge dessi wele vùrzwyyfle (pb Spät136); b) für lallenden Betrunkenen (Dü1); s. Anhang 1.","[zu einem Germ verbreiteten Lallwort, vgl. engl. baby ]"
Baanwart,"(m, -ä-): Bannwart, Waldhüter (wh 99, 181). ▲Pruef.",
Bääretruba ,"(f, -e): Preiselbeere (Re1; sds 6,145: Ss); ▲Böri. SYN: Priisḷböri. ↑(roots) Hiiti.","[Beere nach sds nur im Oberland bekannt ◆ Id 14,206]"
Bäärg·gglöggli," (n, -eni/unveränd.): Soldanella, Troddelblume in den Bergen: am Schnee zùhi ggùgge d Bärgglöggli (Soldanella) ùsùm bruune Häärd (pm 85); ▲Meie. SYN: Soldanella.",
Bäärner·tracht," (f, -e): Berner-Tracht (Gu1).",
Bache ,"(m, unveränd.): Seite des geschlachteten Schweins, Speckseite (Ss1); ùnderiinisch ergrüüft der Puur mit der linggi Hann a Bache Späck (Kolly 51); ▲Fliisch. SYN: Späcksytta.","[mhd bache 'Speckseite'; vgl. engl bacon 'Speck' ◆ Id 4,963: nur BE-OL]"
Backe ,"(m, unveränd.): ❶ Wange (sds 4,17 / wh 22, 184, 189); ma isch i de Backe müed cho is z chöie (pm 16); ▲Chopf. ZSS: Chǜnnpackli. ❷ Hinterbacken (We1); di guete hii di andere gjagt ù trǜbe, as ne de Schwiis ùber ali vier Backe ahitropfet isch über Wangen und Pobacken (pm 15); ↑Chratte. ZSS: Fǜdle~.","[auch Backa, f (sds: Fr / wh) ◆ Id 4,1074]"
Bale·stäcke ,"(m, -e): früheres Knabenspiel, Art Baseball (Dü1 Ta1); ▲Gginggeli. SYN: Baleschlaag. ↑(Bala/Paloota) schlaa.","[das dt Wort fand auch den Weg ins Patois: balstek(e) (Id) ◆ Id 10,1647: nur FR um 1720]"
bambele ,"(p-et): baumeln, herabhängen (We2); SYN: heiche. ZSS: ùma~.",
"Bann (n, Benner/-ä-): Band, a) schmaler Streifen aus Gewebe, Leder (allg.); ↑Fyssela. ZSS: Fysselebennli, Glaasbennli, Göller~, Jiepsvùr~, Nieder~, Schuebennli, Zyebennli. b) im Körper: faseriger Verstärkungsstrang aus Bindegewebe (Gu1 Ta2 Gi2); ↑Spannaadera.",[mhd bant 'Band'; zur Lautung s. Anhang 3.11],
Bart ,"(m, -e-): Bart (wh 99, 181); as isch an öltera Maa gsy mit am ena gfenzlete, strube Bart (pm 97); ↑Haar.",
bättig ,"(-er, -scht): betend, fromm: mit mords bättige Lüt ù mit stächige Ggùschteni muesch dù nüüt z tüe haa (Volkskalender 1996,60); ↑katolisch.",
Bchiischta ,"(f, -e): Kartoffelkeim (allg1 Gu2 UL2 ML2 Si2); Pchyyschte wachse scho dǜr ds Gätterli (pm GuC76); ▲Häppera. SYN: Chiischt.","[auch Pchyyschta (Dü2 / pm), Pcheischta (Gu) ◆ zu pchiischte ◆ Id 8,543: nur LU]"
bedüte,s. bidütte.,
Befääḷ,s. Bifääḷ.,
beliebt,s. pliept.,
Beri2, s. Böri.,
Bett,"(n, -eni/unveränd.): Bett (allg. / wh 41, 186); ▲Möbḷ. SYN: Bettlääger, Gaschtera, Ggliger, Gguschi, Hùnzera, Hùùli, Juhee, Lääger, Näscht, Nùneli, Nùùscheli. U-BEGRIFFE: Gaschtera, Ggutschli. TEILE: Bettcharrli, Bettchaschte, Bettgstöḷ, Bett·techi, Bettzieha, Charrli, Chaschte, Chopfchǜssi, Chǜssi, Fuesseta, Lylache, Madratz, Rosshaarmadratz, Tachbett. ↑ Pritscha, Schlaafstùba. ZSS: Flumm~, Lùùb~, Ruu~, Ober~, Strou~, Tach~, Toppḷ~.",
Bettli2, s. Beetli.,
bewöḷkt,"(-er, -escht): bewölkt (allg.); ↑ fiischter, zigeret. • Ra.: schitter bys bewöukt sieht schlimm aus, schwach (Jugend / Wü2 Ta2).",
Bieni,"(n, -eni/-ini): Biene (allg.; sds 8,105 / wh 60, 73); da sy bigott o scho Bienleni dra ù chräblen ù chrättle de Blüetestùùb i d Hösli (pm 85); SYN: Bejeli. ↑ Bena, Hösli, Hùngg, Piita, Waaba.",[auch Bienli (Ss1)]
bigääre,"(-t): begehren, verlangen (wh 32, 104, 212); SYN: wele. ↑wǜntsche. ZSS: uuf~.",[heute meist begääre ]
Biira/Biire~, s. Bira/Bire~.,
blaase,"(het plaase): ❶ blasen, pusten (allg. / wh 209); dù blaasisch(t) du bläst (wh 122); ❷ atmen (allg1 Gi2 Pl2 Ss2 / wh 141); i chan ùmmǜglich nit blaase Atemnot haben (wh 33); SYN: aatme, schnuufe. ↑ruusse. ❸ winden, wehen (Fr2); SYN: lùfte. • Raa.: tǜǜf blaase tiefen Atemzug nehmen (pb S-2) • chùùrz blaase aufgeregt atmen (pb S-4) • aba blaas mer! Ausruf der Ablehnung (pk).","[mhd blâsen 'blasen, hauchen, schnauben' ◆ Id 5,142: Bed.2 nur FR, WS, zT AG]"
Blaau·chabis,"(m, kein Pl.): Rotkohl (sds 6,189: Wü Üb Fr); ▲Gmües. SYN: Rootchabis. ↑(blaaua/ roota) Chabis.",
Blatti,"(n, -eni/-ini): Teller (allg.; sds 7,195: Dü Wü Fr ML OL / wh 73, 138, 190); si Wort fließe as wie d'Chäsmilch unter dem Prässel u thüe eim as wohl, as as schös Blatti volls Risbri u Chüechli (FN 12.2.1907); ▲Gfääs, ▲Gschǜrr. SYN: Täller. ↑Blatteli. ZSS: Chatze~, Opfer~, Sùppe~.","[auch Blätti (sds: Gu), Dim. Blatteli ◆ lebendig; junge Gen. zT nur noch passiv ◆ pat pḷati, pyati 'kl. Platte' (Currat) ◆ Id 5,189 u. sds: nur FR]"
 Blettli,"(n, -eni): ❶ a) kl. Blatt (wh 71); b) Zeitung (humor.); as Blettli, wa au Maanet iinisch usachùnt (Vaucher 1); SYN: Zyttùng. ZSS: Hiimwee~. ❷ abschätzig für dumme Menschen (Jugend / Si2 Pl2); vgl. Anhang 1.",
Block,"(m, -ö-): Wohnblock. ▲Huus.",
Bluema,"(f, -e): Blume (allg2); SYN: Meie. ZSS: Anke~, Cheesblüemli, Eierblüemli, Läberblüemli, Ringḷ~, Schlǜssḷ~, Schwyne~, Stäärne~, Sùmpf~, Sùne~, Tùtter~, Stùdenteblüemli.","[Dim. Blüemli ◆ neu ◆ Id 5,72]"
Bluet·blaatera,"(f, -e): Klemmflecken am Finger, blutunterlaufene Schwellung (sds 4,47).","[Dim. Bluetbleeterli (sds: He) ◆ Id 5,207]"
blǜnn,"(-nner/-ner, -scht): blind (allg. / wh 91, 121). ↑gstrupiert.",[mhd blint 'blind'; zur Lautung s. Anhang 3.11]
 Bluusli,"(n, -eni/-ini): Bluse (allg.). SYN: Paḷtli.","[auch Bluusa (neu / Dü2 Üb2 Fr), Bluuse (Dü1)]"
Bock,"(m, -ö-); ❶ männl. Tier, zB von Schaf, Ziege, Kaninchen, Reh (allg.; sds 8,51); doch hast do mer nomme no nie akees Böckle [=Ziege] gegä (Stalder 1819: OL); ▲Männli. ZSS: Giis~, Schaafs~, Schärr~, Schǜm~, Sti~. ❷ Gestell, Werkbank, a) zum Herstellen von Brennholz (Gu1 Üb1 Fr1); ↑ Saaga, Schyttstock, Schlegḷ. ZSS: Chaarte~, Hoḷz~, Sagg~, Schindḷ~, Schmir~, Zǜgg~. b) zum Herstellen von Reisigbündeln (Fr1 Ta1); ZSS: Wädele~. ❸ gr. veredelte Zwetschge, gr. Pflaume (wh 51 / Thürler); SYN: Fruuma. ↑Zwätschga. ❹ Turngerät.  Sitz des Kutschers auf dem Wagen (Ta1 Pl1); ▲Höcklig. ↑Ggutscha.  höchste übrig gebliebene Karte einer Farbe beim Jassen (Dü1 He1); gstoche, Bock zweitletzte Karte gestochen, dann noch einen Bock, d.h. der Rest ist für uns (Dü1); ↑Jass. • Raa.: ghiiḷta Bock kastrierter Ziegenbock (sds 8,52: Gu Wü Ta He Pl) / kaschtrierta Bock (sds: Ta); ↑Schǜmbock. • a Bock gschosse Unsinn, Eselei gemacht (We1).","[Dim. Böckli ◆ 3. BzH 1933,41]"
Bode·bǜǜrschta,"(f, -e): Kehrbesen (sds 7,96: Gu He We). SYN: Stùbebääse.",
Bolaari, s. Balaari.,
Booli, s. Poolimaa.,
Boor·windḷ,"(m, -le): Bohrwinde (sds 8,160: Ta). SYN: Windḷboorer.",
Böss, s. Büss.,
Braach,"(m, kein Pl.): Brachacker (wh 56). SYN: Braachblätz.",
bräätle,"(p-et): ❶ braten, brutzeln (neu / Re2); SYN: brägle. ❷ Grillfest veranstalten (Dü2 Wü1 Ta We2 Gi2 Pl2).",
bradle,"(p-et): unverständlich, undeutlich reden, plappern (Üb1 Ta1 Si1 Pl1 Ss1 / wh 73f); [d Chinn] sy zuen ùm choe, hii mit ùm prichtet ù pradlet ù ggoulet (pb Isi68); ▲rede. SYN: brùmmle, muesle, müüsele. ↑ Chopf (zämestrecke), chǜschele, chüderle, gùtzle, läschple, lyyre, mùggle, schmùsle, schwaudere, schwätze.","[zu hochdt brodeln ◆ Id 5,399: bradle 'brodeln' (BE)]"
Bramböri·struuch,"(m, -üü-): Brombeer-Strauch (Ta2). ↑Bramböri.",
Bräschte ,"(m, unveränd.): a) Gebrechen, Altersbeschwerden (allg1 ohne We1 Re1); itz het es mier bym Tonner wùnder ggnoe, was dää fùrn a Bräschte chennti haa (pb Spät91); ▲Chrankiit. ZSS: Aḷtersch~. b) seel. Schmerz nach Kritik von aussen (We1); c) Seuche (wh 46); SYN: Süüch.","[Dim. Bräschteli (He1) ◆ veraltet ◆ mhd gebrëste 'Gebrechen' ◆ Id 5,836]"
brätzele ,"(p-et): Kilbibretzeln herstellen (Gu Wü1 ML Re1 Pl); ▲bache. U-BEGRIFFE: chrǜngele, tiigge, tradle.",
Brann,"(m, -ä-): ❶ Brand, Feuer (allg.); ↑Füür. ZSS: Sùne~. ❷ Vorlauf, das erste Destillat beim Schnapsbrennen: va dryyne Bränn han i itz hye Voorbrann dri taa (Haas: Pl); ↑Brennhafe. ZSS: Voor~. ❸ Ortsname bei Zumholz.",[mhd brant 'Brand'; zur Lautung s. Anhang 3.11]
Brassli, s. Brasseli.,
bredige,"(p-et): ❶ predigen (wh 103); ❷ schimpfen, schelten (Pl1); ↑chriege.",[auch bredege (wh)]
Brenta,"(f, -e): ❶ Rückentraggefäss aus Holz od. Metall, a) für Milch (Ta1 He1 OL1; sds 7,45: Gu SE); ▲Gfääs. SYN: Rǜggechreseli. ↑Mǜḷch·chana. ZSS: Mǜḷch~. b) für Most (sds 7,48: Üb); c) für Erde, Jauche, Mist (sds 7,49: Pl Ss); ❷ Alkohol-Rausch (Üb1 Gi2 Si1); SYN: Stǜǜrni.","[auch Bränta (Üb1 He1; sds: Gu Dü Wü) ◆ Wort u. Ding in Bed.1 bald † ◆ pat brinta 'Rückentraggefäss' ◆ über die Sprachgrenzen im ganzen Alpengebiet ◆ Id 5,753; GPSR 2,800 (mit Karte)]"
briit,"(-er, -escht): ❶ breit, seitlich ausgedehnt. ❷ stark, a) gesund: denn bǜn i a par Stùne lang nüpme briita gsy (pb Spät108); ↑chäch. b) wirtschaftlich, sportlich erfolgreich: det isch er gaar nit briita (Ta2).",
Brodli, s. Bradli.,
Broot·bouch,"(m, -öu-): ❶ Brotgestell, zum Schutz vor Mäusen im Vorratsraum an der Decke aufgehängt (sds 7, 112: We); SYN: Brootheichi. ❷ Knettisch, -brett (sds 7,105: Üb); SYN: Brootbrǜtt, Brootlaade. ↑Tǜsch. / ↑bache.","[Id 4,1380]"
Broot·spaarer,(Pl.): Übername für die Bewohner von Jaun. vgl. Anhang 1.,
Brueder,"(m, -üe-): ❶ Bruder (allg.; sds 4,143 / wh 127, 181); dî Brueder ist amumhe cho (Stalder 1819: UL); dî Brueder, seet de Chnächt, est anchoe (OL). SYN: Brüetsch. ↑Att. • Ra.: de Hetti ù de Wetti sy Brüeder gsyy mit Hätte und Wollte ist noch nichts erreicht (We1); ❷ ungeweihter Ordens-Geistlicher (Ta1); ↑Mǜnch.",
Brüe·troog,"(m, -öö-): Brühbottich, Metzgergefäss (sds 7,28: Ta). SYN: Bǜchti.",
Brǜmeli·sùppa,"(f, -e): Speise aus Brot u. Milch (Gi1 Re2); SYN: Brocheli. • Raa.: Brǜmelisùppa mache a) rundherum drehen, zB auf der Schaukel (Re1 Pl1 Ss1 / wh 132); ↑Helykopter (mache). b) singend in Achterform um stehende Kinder herumgehen (Fr2 Si1 Pl1); SYN: Brülee-la-supp. • Brǜmelisùppa syy beim Versteckspiel, a) unfair sein, zu früh kommen (Ta1); b) alle anschlagen, alle finden (Ta1); ↑Sùppa (vùrsaḷze).","[auch Brùmelisùppa (Ta1 Gi1 Re2 Si1 Pl1) ◆ Suppe wird öfter scherzhaft als Ursache für körperl.-seel. Zustände aufgefasst: Brümmelisuppe 'verursacht schlechte Laune'; Trümmelsuppe 'ein Kinderspiel, Schwindel'; Gygelisuppe 'Gekicher'; hier Vermischung von Brümmeli- und Trümmelsuppe ◆ Id 7,1247/1251]"
Brǜne·stempfḷ,"(m, -le): Stöpsel im Brunnen (pb S-4); ▲Brǜne. SYN: Tùssḷ.","[zu mhd stempfel 'Stempel, Stössel' ◆ Id 11,488: nur Gugg.]"
brǜnzle,"(p-et): urinieren, schwach fliessen (Dü1 We1 Gi Ss1 / wh 143); häb dy Sùppechlack zäme, sùsch stossen der a Schneebala dri, ass dù drüü Tage lang muesch brǜnzle (ms 94); SYN: pyschle.",[auch brùnze (Dü1 Gi Ss1)]
Brǜtti,"(m, -e): abschätzig für dicken Mann: a dicka Brǜtti vam Rihisalp ù Fridel hi müesse uusschwinge (pm 93); vgl. Anhang 1.","[Herkunft unklar; ev. zu simmdt brütten 'träge herumliegen' ◆ Id 5,1006: Brǜtt, m 'Dickwanst' (BE-OL); Brütti, f 'dicke Frau' (Simm.)]"
Brygge,"(n, unveränd.): Feuerzeug (Gu Fr2 We2 Gi2 Re2 Si2 Ss). SYN: Pǜteeter.",[frz briquet 'Feuerzeug']
bubi·ifach,"(k. Steig.): einfach, kinderleicht (Gu1 Dü2 He2 Pl2).",[auch bubieifach (Gu1)]
Buda,"(f, -e): Fabrik, Arbeitsplatz in der Industrie (Re1 Ta2); no mengs chlyys Budeli (aj Rollimoos88); ↑Putigg.",[Dim. Budeli (aj) ◆ zur Lautung s. Anhang 3.8]
buehig, s. buechig.,
Bǜgḷ,"(m, -le): Bügelhorn, Blasmusik-Instrument mit drei Ventilen: hei, wy glänze d Ynschtrumänt, Ggorni, Bǜgù, Tenorhorn (ms 70); ▲Ynschtrument.",
Bulymeie,"(m, unveränd.): Liebstöckel: z hinderscht Chrütli wye Bulymeije, Mejeraan, Saubyna ù wiis de Ggugger no was (aj Rollimoos84); ▲Chrüttli. SYN: Maggichrutt.",[ev. zu frz bouilli 'Suppenfleisch' + Meie ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]
Bùnker ,"(m, -e): ❶ Bunker, Schutzraum. ❷ Haus (humor. / Üb1); ▲Huus.",
Bǜrger, s. Bǜǜrger.,
Bürù,"(n, unveränd.): ❶ Büro, Geschäftsstelle ausser Haus (wh 120); ↑Putigg. ❷ Arbeitszimmer im Haus (wh 120).",[auch Büro (allg2)]
Bùttla,"(f, -e): Hagebutte, Frucht der Heckenrose (allg1 Dü2 Gi2 Si2; sds 6,152); ▲Frùcht, ▲Struuch.  ↑Haagröösli.","[auch Bùttḷ, m (sds: Pl) ◆ die Haare an den Kernen der reifen Früchte werden v. Knaben als Juckpulver verwendet (BzH 1933,41) ◆ Id 4,1914]"
Buuchi,"(f, -ene): Raum, Anstalt, wo in Buchen-Aschen-Lauge gewaschen wird: ds Garn i d Buuchi ggä (pk 1980,13); SYN: Buuchhuus.","[Id 4,978: BE]"
Bùùm,"(m, -ǜǜ-): ❶ Baum (allg. / wh 72, 181); hinder e Bùùm (wh 200); fùr na bùùm (wh 202); ùf ena Bùùm (wh 194); ▲Ggwächs. SYN: Mocke. U-BEGRIFFE: Laubbäume: Ahoorn, Aschpa, Bircha, Buecha, Gǜrtsch, Hagebuecha, Iich, Lina, Ööscha, Robynia, Saarbùùm, Troosla, Ulma, Wyda. Nadelbäume: Aarba, Iibùùm, Lerch, Tana, Teela, Wyymuet. TEILE: Ascht, Bùùmstamm, Chnǜder, Grittela, Haarzela, Lùùb, Roone, Rǜna, Stamm, Töli, Wǜǜrza. ↑ Mǜsela, Waaḷ1. ZSS: Bire~, Chöschti~, Chries~, Hoḷzöpfḷ~, Holler~, Nùss~, Öpfḷ~, Pfùnnbire~, Pǜschelibire~, Tierli~, Toote~, Troli~, Zwätschge~, Zesi~. ❷ Leiterholm (sds 6,175: Gu UL Fr He We Pl Ss); ▲Liitera. SYN: Stanga, Liiteregsteḷ. ZSS: Gaarn~, Lad~, Ochse~, Pǜmpùùm, Schlǜǜf~, Spalier~. • Ra.: Chrützaas an a Bùùm aan Fluch, Ausruf (pb S-3).","[Dim. Bǜǜmli (sds: Üb We), Bǜǜmeli ◆ Id 4,1241]"
Büüna, s. Büna.,
Bǜǜrschta,"(f, -e): ❶ Bürste. ↑Streeḷ. ZSS: Haar~. ❷ Kehrbesen (sds 7,96: Gu UL He We OL); ▲Pùtzzüüg. ↑Stùbebääse. ZSS: Bode~, Fägg~, Gaartebǜǜrschteli, Haar~, Stùbe~, Zannbǜǜrschteli.","[Id 4,1609]"
Bybla,"(f, -e): ❶ Bibel (wh 49); ❷ Bibel-, Religionsunterricht (Gi2); i de Bübla het de Seppili gleert, wy de Härrgott d Wäut arschaffe hät (fa Religion); SYN: Chineleer.","[auch Bibla (wh), Bübla (wh)]"
Bygeta,"(f, -e): Stapel, aufgeschichteter Haufen (Wü1 Ta2); SYN: Tǜscha. ZSS: Hoḷz~.",[zu Byga; zu -eta s. Huuffeta ]
Byschpǜḷ,"(n, unveränd.): Beispiel (wh 110).","[auch Byschpiḷ (wh), Byyschpùu (Gi2)]"
bytte, s. bitte.,
byyssig,"(-er, -scht): beissend, bes. Verstärkung für kalt: byyssig chalt isch es gsyy ù trüeb (pb Verse21); ↑määrterlich.",
Chäärn·sǜǜffa ,"(f, -e): Marseiller Seife (Ss1). SYN: Ggwannsǜǜffa.",
Chabis·hüüsi ,"(n, -eni): Schuppen zum Lagern von Kohl: ds Chabishüüsi isch vols Gartezüüg, as chùnt langsam chöḷter (pm 22).","[Id 2,1714: 'Schuppen als Magazin für Kohlkopf' (alte Q in BE, SH)]"
Chachḷ·gschǜrr ,"(n, kein Pl.): irdenes Küchengeschirr: [de Chlööschterler het] Chachelgschǜrr gringget Geschirr mit Ringen flicken (pm 66).",
Chafli ,"(m, -eni): Person, die alles unflätig berührt (wh 73). vgl. Anhang 1.","[Id 3,157]"
Chaḷber·mäḷchterli ,"(n, -eni): Tränkgefäss für Kälber: as Mǜlchchǜbli, as holzigs, ùn as Chalbermälchterli (pm 80).",
Chale ,"(m, unveränd.): Glockenschwengel (allg1 Üb2; sds 5,43 / wh 163, 184); ▲Trichela. ↑Gglütt.","[auch Chaale (sds: Gu) ◆ veraltend ◆ zu ahd chall�n, mhd kallen 'rufen', vgl. engl call ◆ Id 3,194: CH]"
Chammla ,"(f, -e): gabelförmiger Holzkragen für das Vieh, damit es keine Zäune durchbrechen kann (wh 31, 139); SYN: Trüegla. ↑Häḷsig. • Ra.: epper i d Chammla nää herausfordern, die Wahrheit zu sagen (pb S-7).","[† ◆ zu mhd kam(b)e 'Kamm; Fusseisen' (Id) ◆ Id 3,299; Stucki 1917,184: Chami ]"
Chappa ,"(f, -e): ❶ Kappe, Mütze (Gu1 Dü1 Fr2 Ta Re2 Pl1 Ss1 / wh 72, 189); ▲Bchliidig. ↑ Beisbooltschäppḷ, Hübi, Tätschli, Tschäppḷ. ZSS: Chüerchäppi, Oore~, Tätsch~, Tschùggḷ~, Tschùmeli~, Zǜpfeli~. ❷ Giebelwalm, Teilwalm am Dach (Anderegg 1,295). • Ra.: das nǜmen i ùf my Chappa meine Schuld (Ta2).","[Dim. Chappeli (wh), Chäppli (ms), Chäppi (Gu1 Wü1 He1 Si1) ◆ 2. Anderegg 1,295]"
Charer ,"(m, unveränd.): Fuhrmann, bes. auf dem Bauernhof (wh 184). ↑Puur.",
